"F1","F2","F3","F4","F5","F6","F7","F8","class"
"F",0.665,NA,0.18,1.389,0.5945,0.324,NA,"B"
"M",0.415,0.345,0.135,0.3865,0.128,0.07,NA,"C"
"I",0.45,NA,0.115,0.365,0.14,0.0825,NA,"A"
"F",0.605,NA,0.175,1.076,0.463,0.2195,0.335,"B"
"I",0.395,NA,0.105,0.306,0.111,0.0735,NA,"A"
"F",NA,NA,0.215,1.5765,NA,0.2595,0.665,"C"
"F",0.575,0.45,0.1,0.9315,NA,0.222,0.235,"C"
"F",NA,0.455,0.165,0.9805,NA,0.2815,NA,"C"
"M",0.535,0.435,0.155,0.8915,0.3415,0.177,NA,"C"
"F",0.45,NA,0.135,0.438,0.1805,0.1165,0.11,"B"
"M",0.47,0.37,0.12,0.5795,NA,0.227,0.14,"B"
"M",0.595,0.48,0.165,1.262,0.4835,0.283,NA,"C"
"I",0.56,0.43,0.13,0.728,NA,0.1435,0.2175,"A"
"I",0.425,NA,0.09,0.301,0.1385,0.065,NA,"A"
"I",NA,NA,0.095,0.2315,0.105,0.046,0.075,"A"
"M",NA,NA,0.18,1.463,NA,0.3135,NA,"C"
"I",0.41,NA,0.11,0.315,0.124,0.082,0.095,"B"
"F",NA,NA,0.16,1.6365,NA,0.3005,NA,"C"
"M",0.755,NA,0.205,2.0065,NA,0.4015,0.595,"B"
"M",NA,0.525,0.185,1.259,NA,0.2215,NA,"C"
"F",NA,NA,0.1,0.5565,NA,0.1155,NA,"B"
"I",0.195,NA,0.045,0.0375,NA,0.006,0.011,"A"
"F",NA,0.465,0.165,0.9355,0.4035,0.2275,NA,"B"
"F",0.525,NA,0.145,0.7995,NA,0.209,0.24,"C"
"M",NA,NA,0.14,0.6595,NA,0.2035,NA,"B"
"I",NA,0.365,0.12,0.53,NA,0.0975,0.1625,"B"
"M",0.525,NA,0.13,0.7635,NA,0.1425,NA,"A"
"I",NA,NA,0.15,0.745,NA,0.1675,NA,"C"
"M",0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,"C"
"I",0.515,0.405,0.13,0.573,NA,0.134,NA,"B"
"F",NA,0.26,0.08,0.2,NA,0.05,0.07,"B"
"F",NA,0.4,0.115,0.6295,0.2555,0.144,0.18,"C"
"I",NA,0.16,0.05,0.049,NA,0.01,0.015,"A"
"F",0.58,NA,0.155,0.974,NA,0.23,NA,"B"
"F",0.595,NA,0.15,1.0765,0.491,0.22,NA,"B"
"I",NA,NA,0.105,0.4445,0.197,0.093,NA,"A"
"F",NA,0.47,0.145,0.984,NA,0.2,0.265,"C"
"F",NA,0.475,0.165,1.053,NA,0.217,NA,"C"
"M",0.49,0.465,0.125,0.5225,NA,0.13,NA,"A"
"I",0.475,0.375,0.11,0.456,NA,0.099,NA,"B"
"F",0.57,0.45,0.18,0.908,0.4015,0.217,NA,"B"
"M",NA,0.515,0.185,1.4605,NA,0.3155,0.41,"C"
"M",NA,NA,0.155,1.049,NA,0.231,NA,"B"
"M",0.63,NA,0.195,1.3135,0.4935,0.2565,0.465,"B"
"I",NA,NA,0.12,0.4965,NA,0.1045,NA,"A"
"M",NA,NA,0.125,0.65,NA,0.155,NA,"A"
"I",NA,0.305,0.095,0.2625,0.1,0.0515,0.09,"A"
"M",0.685,0.545,0.205,1.7925,NA,0.416,NA,"B"
"F",0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,"C"
"I",0.425,NA,0.095,0.3505,NA,0.071,NA,"A"
"F",NA,0.475,0.18,1.1805,0.4345,0.2475,0.425,"C"
"M",NA,NA,0.2,1.9045,NA,0.44,NA,"C"
"M",NA,0.325,0.115,0.39,0.163,0.087,NA,"A"
"F",NA,0.39,0.135,0.59,NA,0.125,NA,"C"
"M",0.58,NA,0.155,1.0335,NA,0.2225,NA,"B"
"M",NA,NA,0.155,1.3575,NA,0.3045,NA,"B"
"M",0.605,0.5,0.175,1.098,0.4765,0.232,0.375,"C"
"I",NA,0.35,0.115,0.4155,0.18,0.098,0.1175,"A"
"F",NA,0.38,0.145,0.59,NA,0.141,NA,"C"
"M",0.54,NA,0.18,0.996,NA,0.226,NA,"C"
"F",NA,NA,0.175,0.982,0.4055,0.2495,0.27,"B"
"M",0.575,0.435,0.13,1.0105,0.368,0.222,0.32,"B"
"I",0.36,0.265,0.09,0.2055,0.096,0.037,NA,"A"
"I",NA,NA,0.12,0.625,0.3265,0.1295,0.16,"A"
"M",NA,NA,0.16,0.8675,NA,0.221,NA,"B"
"M",0.665,NA,0.225,2.1835,NA,0.391,NA,"C"
"F",NA,NA,0.16,0.9455,0.3675,0.2005,0.295,"B"
"I",0.43,NA,0.12,0.3575,NA,0.0645,0.1045,"B"
"F",NA,NA,0.155,1.129,0.5015,0.24,NA,"B"
"I",NA,0.23,0.09,0.1285,NA,0.04,0.04,"A"
"F",0.635,0.49,0.155,1.145,0.4775,0.3035,NA,"B"
"F",0.62,NA,0.14,1.1605,NA,0.2195,0.307,"B"
"M",NA,0.23,0.085,0.125,0.042,0.0285,NA,"A"
"F",NA,0.46,0.15,1.0265,0.4935,0.201,NA,"B"
"M",0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,"B"
"I",0.29,0.205,0.07,0.0975,NA,0.019,0.035,"A"
"F",NA,NA,0.21,2.1425,NA,0.487,NA,"C"
"M",NA,NA,0.16,0.9245,NA,0.2185,0.295,"C"
"F",0.66,0.52,0.18,1.514,0.526,0.2975,NA,"C"
"F",NA,NA,0.19,1.2955,0.5215,0.3225,NA,"C"
"I",NA,0.35,0.125,0.4225,0.1905,0.079,NA,"B"
"I",0.57,NA,0.135,0.794,NA,0.1415,NA,"A"
"M",0.355,NA,0.085,0.1905,NA,0.0485,0.055,"A"
"M",0.695,NA,0.22,1.5515,NA,0.3835,0.445,"C"
"F",NA,NA,0.135,0.959,NA,0.221,NA,"C"
"F",0.49,NA,0.13,0.539,0.229,0.1355,0.165,"C"
"F",NA,0.55,0.175,1.798,NA,0.3925,0.455,"C"
"I",NA,0.38,0.135,0.5285,NA,0.123,0.209,"A"
"F",NA,0.5,0.18,1.1965,NA,0.2325,NA,"A"
"F",NA,NA,0.2,1.4685,0.4715,0.3235,0.52,"C"
"M",0.635,0.51,0.185,1.308,NA,0.318,NA,"A"
"I",NA,NA,0.16,0.9175,0.45,0.1935,0.24,"B"
"I",0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,"C"
"M",NA,NA,0.165,1.39,0.711,0.2865,NA,"C"
"M",NA,NA,0.17,1.1825,NA,0.2895,NA,"C"
"I",NA,0.325,0.1,0.342,NA,0.0835,0.105,"A"
"M",0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,"A"
"I",0.68,0.53,0.185,1.1095,NA,0.245,NA,"B"
"I",0.32,0.23,0.06,0.129,NA,0.0275,NA,"A"
"F",0.705,0.545,0.18,1.5395,NA,0.3675,NA,"C"
"I",NA,0.275,0.11,0.256,NA,0.0535,NA,"A"
"F",0.735,NA,0.225,2.037,NA,0.5145,NA,"C"
"M",NA,NA,0.16,0.998,NA,0.214,NA,"B"
"F",0.625,NA,0.16,1.234,NA,0.192,NA,"C"
"M",NA,NA,0.235,0.8395,0.3325,0.157,NA,"C"
"M",NA,NA,0.115,0.3615,0.1565,0.0695,0.117,"A"
"F",NA,0.39,0.135,0.5785,0.2465,0.123,NA,"C"
"I",0.65,NA,0.16,1.1625,NA,0.203,0.33,"C"
"M",NA,0.585,0.22,1.914,NA,0.448,NA,"C"
"M",0.58,NA,0.15,0.97,0.385,0.2165,0.35,"C"
"M",0.49,0.385,0.125,0.649,0.32,0.124,NA,"A"
"M",NA,NA,0.155,1.259,NA,0.197,0.41,"C"
"F",NA,0.39,0.135,0.6335,NA,0.179,NA,"B"
"M",NA,NA,0.15,0.6815,NA,0.1405,NA,"C"
"I",NA,0.365,0.125,0.426,NA,0.0965,NA,"A"
"I",0.38,0.29,0.085,0.2285,NA,0.0465,0.075,"A"
"M",NA,NA,0.13,0.8625,0.4225,0.155,NA,"B"
"I",0.42,NA,0.115,0.354,0.1625,0.064,NA,"A"
"M",0.595,0.46,0.14,0.852,NA,0.2255,0.227,"B"
"M",0.72,NA,0.19,2.081,NA,0.4305,0.503,"C"
"F",0.58,NA,0.17,1.48,0.6535,0.324,NA,"B"
"M",NA,0.45,0.15,0.8795,NA,0.15,0.2625,"C"
"M",0.615,0.475,0.175,1.224,0.6035,0.261,0.311,"B"
"F",0.485,0.365,0.15,0.9145,NA,0.199,NA,"A"
"M",NA,NA,0.15,0.8665,NA,0.1955,0.255,"C"
"M",0.59,0.5,0.15,1.142,NA,0.265,NA,"B"
"I",NA,0.275,0.1,0.2815,NA,0.0505,NA,"A"
"I",NA,NA,0.11,0.5185,0.2165,0.0915,0.184,"A"
"I",NA,NA,0.08,0.18,0.08,0.045,NA,"A"
"F",NA,0.485,0.16,1.0565,NA,0.2355,0.355,"B"
"M",NA,0.435,0.155,1.065,0.486,0.233,0.285,"A"
"M",0.61,NA,0.155,0.983,0.4565,0.228,0.266,"B"
"I",NA,0.3,0.105,0.259,NA,0.038,0.085,"A"
"M",0.575,NA,0.155,0.948,0.429,0.206,0.259,"A"
"M",0.545,NA,0.165,0.744,NA,0.204,NA,"C"
"M",0.55,NA,0.15,0.8315,NA,0.1765,NA,"B"
"M",0.58,NA,0.135,0.814,NA,0.1915,0.22,"B"
"M",NA,NA,0.175,1.561,NA,0.3555,0.4,"A"
"I",0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,"A"
"I",0.45,0.33,0.1,0.411,NA,0.1,NA,"A"
"I",NA,NA,0.155,0.8725,0.412,0.187,0.2425,"B"
"I",0.45,0.355,0.11,0.4585,NA,0.067,NA,"A"
"I",0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,"B"
"I",0.475,0.355,0.105,0.468,NA,0.1115,NA,"A"
"F",NA,NA,0.16,0.656,NA,0.171,NA,"B"
"M",0.65,0.495,0.18,1.793,NA,0.339,0.53,"C"
"M",NA,NA,0.085,0.171,NA,0.0365,0.055,"C"
"M",0.68,NA,0.19,1.623,NA,0.354,NA,"C"
"I",NA,NA,0.08,0.2105,NA,0.042,0.07,"A"
"M",0.51,0.405,0.13,0.7175,NA,0.158,0.17,"B"
"I",0.52,NA,0.13,0.5825,NA,0.1365,NA,"B"
"F",NA,0.355,0.105,0.5225,NA,0.1165,NA,"A"
"F",NA,0.475,0.145,0.9525,NA,0.195,0.32,"B"
"I",NA,NA,0.11,0.3675,0.1355,0.0935,0.12,"C"
"I",NA,NA,0.1,0.44,NA,0.095,NA,"A"
"M",0.515,NA,0.13,0.623,NA,0.1285,0.175,"B"
"F",NA,0.42,0.14,0.805,NA,0.1725,NA,"C"
"I",0.4,NA,0.1,0.306,NA,0.06,NA,"A"
"I",NA,NA,0.08,0.2485,0.122,0.0495,NA,"A"
"I",0.17,0.13,0.095,0.03,NA,0.008,NA,"A"
"I",0.295,NA,0.07,0.1365,0.0575,0.0295,0.035,"A"
"F",0.6,NA,0.16,1.0265,0.485,0.2495,NA,"B"
"M",0.67,NA,0.195,1.217,0.532,0.2735,0.3315,"C"
"F",0.485,NA,0.15,0.605,NA,0.14,NA,"C"
"I",0.39,NA,0.1,0.281,NA,0.062,0.077,"A"
"F",NA,NA,0.195,1.764,NA,0.3615,0.47,"C"
"F",0.585,NA,0.16,1.077,NA,0.2875,NA,"B"
"M",NA,0.355,0.12,0.547,NA,0.1615,0.14,"B"
"F",NA,0.52,0.19,1.3105,0.58,0.288,NA,"C"
"M",NA,NA,0.13,0.487,NA,0.0965,NA,"B"
"M",0.27,0.2,0.08,0.1205,NA,0.028,NA,"A"
"F",0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,"B"
"I",0.35,NA,0.11,0.209,0.066,0.059,NA,"B"
"M",NA,NA,0.1,0.3295,0.1365,0.0725,NA,"A"
"F",0.555,0.42,0.11,0.931,0.4445,0.171,0.225,"A"
"I",NA,NA,0.09,0.339,0.155,0.0695,0.09,"A"
"M",NA,NA,0.15,1.1625,0.565,0.258,0.3085,"C"
"F",NA,NA,0.185,1.4195,0.6735,0.3465,NA,"C"
"M",NA,0.57,0.2,1.8275,NA,0.366,0.485,"B"
"I",NA,0.355,0.105,0.372,NA,0.0765,NA,"B"
"I",NA,NA,0.135,0.711,NA,0.144,NA,"C"
"I",0.43,0.335,0.105,0.378,0.188,0.0785,NA,"A"
"M",0.38,NA,0.1,0.2505,0.106,0.0535,NA,"A"
"M",NA,0.5,0.175,1.5105,NA,0.3755,NA,"C"
"F",0.575,0.475,0.16,0.895,NA,0.221,NA,"B"
"I",0.375,NA,0.09,0.218,0.093,0.0405,0.0755,"A"
"F",NA,NA,0.15,1.0075,NA,0.221,NA,"C"
"F",NA,NA,0.205,1.757,NA,0.417,0.461,"B"
"I",NA,NA,0.085,0.1745,0.072,0.033,NA,"A"
"M",0.505,0.395,0.135,0.5915,NA,0.1315,NA,"C"
"F",0.705,0.57,0.185,1.761,NA,0.3725,0.488,"B"
"I",0.35,NA,0.085,0.174,0.0705,0.0345,0.06,"B"
"F",0.63,0.505,0.195,1.306,NA,0.3305,NA,"B"
"I",0.485,0.36,0.12,0.5155,NA,0.1025,NA,"A"
"F",0.625,0.475,0.175,1.1435,NA,0.2475,0.349,"B"
"M",0.475,NA,0.14,0.6175,NA,0.1445,0.19,"C"
"I",NA,NA,0.14,0.687,NA,0.1405,0.25,"B"
"M",NA,NA,0.145,0.887,NA,0.1655,0.265,"C"
"M",0.575,NA,0.145,0.857,NA,0.173,NA,"B"
"F",0.675,0.51,0.185,1.473,NA,0.3025,NA,"C"
"M",0.665,NA,0.2,1.2695,NA,0.2675,NA,"C"
"I",0.425,NA,0.105,0.389,0.2015,0.0905,0.088,"A"
"F",NA,NA,0.105,0.3605,NA,0.082,NA,"B"
"I",0.59,NA,0.145,0.974,NA,0.236,NA,"A"
"M",0.515,0.38,0.175,0.9565,0.325,0.158,NA,"C"
"I",NA,0.32,0.105,0.3875,NA,0.074,NA,"B"
"I",NA,NA,0.12,0.4155,0.198,0.0885,NA,"A"
"F",0.625,NA,0.155,1.2035,0.5865,0.239,NA,"C"
"I",NA,0.38,0.12,0.512,0.233,0.1205,NA,"A"
"F",0.66,0.525,0.16,1.277,0.4975,0.319,NA,"C"
"F",NA,0.34,0.18,0.7005,0.312,0.165,NA,"C"
"I",0.385,NA,0.09,0.2365,0.1,0.0505,NA,"A"
"F",NA,NA,0.175,1.2125,0.5735,0.261,NA,"C"
"M",0.355,0.29,0.09,0.3275,0.134,0.086,NA,"B"
"F",NA,0.4,0.17,0.796,NA,0.1755,0.28,"C"
"F",NA,0.435,0.185,1.106,NA,0.2435,NA,"C"
"I",NA,NA,0.145,0.872,NA,0.18,NA,"B"
"I",NA,NA,0.035,0.034,NA,0.0085,NA,"A"
"M",NA,0.47,0.165,1.059,NA,0.241,NA,"B"
"I",0.46,NA,0.12,0.5335,NA,0.108,0.1345,"A"
"I",0.435,NA,0.12,0.3215,NA,0.056,0.1185,"A"
"F",0.345,0.255,0.1,0.197,0.071,0.051,NA,"B"
"F",0.64,NA,0.175,1.382,NA,0.3115,0.37,"B"
"I",NA,0.485,0.16,1.15,NA,0.257,NA,"C"
"I",0.54,0.425,0.13,0.8155,NA,0.1365,0.246,"C"
"I",0.335,0.26,0.085,0.192,NA,0.03,NA,"A"
"M",NA,0.27,0.1,0.217,NA,0.0495,NA,"A"
"M",NA,0.455,0.145,0.942,NA,0.182,NA,"C"
"I",0.41,0.31,0.09,0.3335,NA,0.061,NA,"A"
"I",NA,0.275,0.095,0.257,NA,0.055,NA,"A"
"M",0.345,NA,0.09,0.2005,0.094,0.0295,0.063,"B"
"I",0.53,0.43,0.13,0.7045,0.346,0.1415,NA,"B"
"M",NA,NA,0.17,0.9605,NA,0.2225,0.276,"B"
"M",NA,NA,0.155,0.9155,0.3645,0.195,NA,"A"
"M",NA,NA,0.22,2.015,NA,0.454,NA,"C"
"I",NA,0.285,0.085,0.244,0.1215,0.0445,0.068,"A"
"M",NA,0.555,0.175,2.14,NA,0.3725,NA,"C"
"M",NA,0.375,0.13,0.5735,NA,0.119,NA,"B"
"M",NA,NA,0.16,0.8645,NA,0.2075,NA,"B"
"I",0.37,NA,0.095,0.232,0.1325,0.041,0.0615,"A"
"M",NA,NA,0.1,0.3005,0.1215,0.0575,NA,"C"
"M",0.62,0.46,0.16,0.9505,NA,0.2,0.228,"B"
"M",NA,NA,0.21,2.2355,NA,0.463,NA,"B"
"M",NA,NA,0.15,1.0875,NA,0.283,NA,"B"
"M",NA,0.355,0.115,0.478,NA,0.1185,NA,"B"
"M",NA,0.58,0.205,2.0805,NA,0.3415,NA,"C"
"I",0.52,0.39,0.13,0.5545,0.2355,0.1095,NA,"A"
"F",0.635,NA,0.15,1.376,NA,0.361,0.31,"B"
"F",0.66,0.475,0.18,1.3695,NA,0.294,NA,"A"
"M",NA,NA,0.15,0.927,NA,0.1815,0.36,"C"
"M",0.62,0.47,0.145,1.0865,NA,0.2715,0.2565,"B"
"F",NA,NA,0.21,2.505,NA,0.513,NA,"C"
"F",NA,0.425,0.145,0.7,0.207,0.1905,NA,"C"
"F",NA,0.475,0.16,1.1155,NA,0.223,NA,"B"
"I",NA,0.455,0.16,0.9895,0.495,0.195,NA,"B"
"F",0.64,NA,0.2,1.3905,NA,0.3315,NA,"C"
"F",NA,NA,0.2,1.596,0.525,0.4075,NA,"C"
"I",0.415,0.31,0.1,0.2805,0.114,0.0565,NA,"A"
"F",0.575,NA,0.17,1.1,0.506,0.2485,0.31,"B"
"M",NA,NA,0.175,1.3585,NA,0.294,NA,"B"
"I",NA,0.41,0.12,0.595,NA,0.111,0.19,"A"
"I",0.54,NA,0.14,0.7265,NA,0.1445,0.229,"B"
"M",0.52,0.425,0.125,0.79,NA,0.205,0.19,"A"
"F",NA,NA,0.165,0.903,NA,0.1845,NA,"C"
"F",NA,NA,0.205,1.3665,NA,0.291,0.41,"C"
"F",0.645,0.51,0.19,1.363,NA,0.362,NA,"B"
"M",NA,NA,0.18,1.3135,0.4865,0.2995,0.4075,"B"
"I",NA,0.4,0.14,0.7165,NA,0.1595,0.1785,"A"
"M",0.625,0.5,0.13,1.082,NA,0.2045,0.25,"A"
"I",0.48,0.37,0.125,0.5435,NA,0.101,0.165,"B"
"I",0.325,NA,0.07,0.152,NA,0.0305,NA,"A"
"F",0.54,0.42,0.145,0.8655,NA,0.163,NA,"B"
"I",NA,0.25,0.105,0.1715,0.0655,0.035,NA,"A"
"M",NA,0.52,0.175,1.292,0.6,0.269,NA,"C"
"I",NA,0.31,0.085,0.317,NA,0.0505,NA,"A"
"M",0.66,0.515,0.195,1.5655,NA,0.353,NA,"B"
"F",NA,NA,0.155,1.278,0.5605,0.3045,NA,"C"
"I",NA,NA,0.095,0.252,NA,0.0575,0.066,"A"
"M",NA,NA,0.24,1.642,NA,0.3345,NA,"C"
"M",NA,0.45,0.14,0.9275,NA,0.1605,0.2515,"A"
"I",NA,0.27,0.085,0.196,0.0905,0.034,NA,"A"
"M",NA,NA,0.14,0.7545,0.3495,0.1715,NA,"A"
"F",0.6,NA,0.19,1.129,0.4385,0.256,0.36,"C"
"I",0.515,0.415,0.135,0.7125,NA,0.152,0.245,"B"
"M",NA,NA,0.08,0.1345,NA,0.024,NA,"A"
"M",NA,NA,0.14,0.6905,NA,0.151,0.23,"B"
"I",0.385,0.285,0.09,0.248,NA,0.066,NA,"A"
"F",NA,0.345,0.115,0.496,0.1905,0.117,NA,"C"
"I",0.43,NA,0.105,0.309,NA,0.08,0.098,"A"
"M",NA,NA,0.145,1.062,NA,0.1785,NA,"C"
"I",0.305,NA,0.075,0.156,NA,0.038,NA,"A"
"I",NA,NA,0.135,0.768,0.3305,0.1385,0.2475,"B"
"F",0.575,0.46,0.185,1.094,NA,0.217,0.345,"C"
"F",NA,0.29,0.105,0.257,NA,0.051,0.085,"B"
"F",NA,NA,0.17,1.2895,0.587,0.3165,NA,"C"
"F",NA,0.45,0.15,1.114,NA,0.2205,0.25,"C"
"M",0.615,NA,0.205,1.337,NA,0.2815,0.37,"C"
"I",NA,0.345,0.135,0.443,0.1975,0.0875,0.1175,"C"
"I",0.46,NA,0.11,0.436,NA,0.096,NA,"A"
"F",NA,0.44,0.15,0.863,0.435,0.149,0.27,"B"
"F",0.45,0.36,0.125,0.5065,NA,0.105,NA,"B"
"F",NA,0.42,0.18,1.6645,0.7755,0.35,NA,"B"
"M",NA,NA,0.105,0.488,0.188,0.0845,0.19,"B"
"I",NA,NA,0.075,0.187,NA,0.0445,NA,"A"
"I",NA,NA,0.1,0.127,NA,0.071,NA,"A"
"M",0.58,0.44,0.15,1.0465,NA,0.2185,NA,"B"
"I",NA,NA,0.125,0.717,0.358,0.112,0.22,"A"
"M",0.58,0.43,0.13,0.798,NA,0.173,0.2285,"B"
"M",0.545,0.45,0.16,0.8615,NA,0.1545,0.365,"C"
"I",0.4,NA,0.09,0.2815,0.1185,0.061,0.08,"A"
"F",0.58,0.45,0.15,0.92,NA,0.212,NA,"B"
"M",0.57,0.46,0.14,0.9535,NA,0.2065,NA,"C"
"I",NA,0.105,0.035,0.0145,0.005,0.0035,NA,"A"
"F",NA,0.47,0.25,1.283,0.462,0.2475,NA,"C"
"M",NA,0.455,0.17,0.9065,0.342,0.156,NA,"C"
"F",0.705,NA,0.18,1.685,0.693,0.42,NA,"C"
"M",NA,0.225,0.075,0.1295,0.0455,0.0335,NA,"B"
"F",NA,0.44,0.145,0.8815,0.43,0.1975,NA,"A"
"F",NA,NA,0.195,1.281,0.5985,0.246,NA,"B"
"M",NA,NA,0.14,0.8505,NA,0.146,NA,"C"
"F",NA,0.31,0.115,0.3465,NA,0.0695,0.115,"B"
"M",0.63,NA,0.165,1.352,NA,0.349,0.45,"C"
"I",NA,0.235,0.08,0.131,0.05,0.0265,0.043,"A"
"M",0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,"C"
"F",0.435,NA,0.105,0.3635,0.136,0.098,NA,"B"
"I",0.37,0.28,0.09,0.218,NA,0.0545,NA,"A"
"F",NA,NA,0.085,0.2405,0.104,0.0535,0.07,"A"
"M",0.68,NA,0.155,1.534,NA,0.379,NA,"B"
"F",0.57,NA,0.14,0.9535,0.3785,0.201,NA,"C"
"I",NA,NA,0.125,0.755,0.334,0.15,NA,"B"
"M",NA,NA,0.185,1.274,NA,0.3065,0.32,"C"
"F",NA,NA,0.165,1.3115,NA,0.2555,NA,"B"
"I",0.42,NA,0.115,0.409,NA,0.0935,0.105,"A"
"F",NA,NA,0.15,0.8085,NA,0.112,0.295,"C"
"I",NA,NA,0.09,0.2015,NA,0.0405,NA,"A"
"M",0.75,NA,0.18,1.893,NA,0.397,0.445,"C"
"I",NA,0.275,0.1,0.2255,0.08,0.049,0.085,"B"
"M",0.525,NA,0.135,0.7945,NA,0.189,NA,"A"
"F",0.595,NA,0.14,0.914,NA,0.2225,0.271,"B"
"I",NA,NA,0.095,0.221,0.0985,0.043,NA,"A"
"I",0.555,0.435,0.14,0.765,0.3945,0.15,0.206,"A"
"M",NA,NA,0.155,0.842,NA,0.1415,NA,"B"
"F",0.515,NA,0.135,0.712,NA,0.1605,NA,"C"
"M",0.505,NA,0.105,0.5525,0.239,0.1245,NA,"B"
"I",NA,0.305,0.105,0.284,0.1135,0.0595,NA,"A"
"F",NA,0.55,0.17,1.219,0.6395,0.236,0.301,"B"
"F",NA,NA,0.17,1.0835,NA,0.326,NA,"C"
"M",NA,0.37,0.18,0.51,NA,0.1285,NA,"B"
"M",NA,0.295,0.08,0.2555,NA,0.043,NA,"A"
"F",NA,NA,0.155,0.746,NA,0.152,NA,"A"
"M",0.7,0.54,0.205,1.74,NA,0.373,NA,"C"
"F",0.55,NA,0.15,1.082,NA,0.194,NA,"C"
"M",NA,0.285,0.085,0.2205,0.0855,0.0515,NA,"B"
"I",NA,0.265,0.075,0.1785,0.0785,0.035,0.054,"A"
"I",0.255,0.19,0.06,0.086,NA,0.0185,0.025,"A"
"F",NA,0.495,0.155,1.0805,0.52,0.19,NA,"B"
"M",NA,NA,0.17,1.0225,0.549,0.2175,NA,"B"
"F",0.675,0.53,0.175,1.4465,0.6775,0.33,NA,"B"
"M",NA,0.435,0.14,0.874,NA,0.229,NA,"A"
"I",NA,NA,0.125,0.596,NA,0.097,0.21,"B"
"I",NA,0.415,0.155,0.702,0.322,0.167,NA,"B"
"M",NA,0.455,0.15,0.952,NA,0.2155,0.2745,"B"
"M",0.58,NA,0.17,0.93,NA,0.259,NA,"B"
"F",NA,0.49,0.19,1.3065,0.479,0.3565,0.345,"C"
"M",NA,0.4,0.16,0.8175,NA,0.156,0.3,"C"
"M",0.45,0.36,0.16,0.567,0.174,0.1245,0.225,"C"
"F",0.55,NA,0.155,0.9905,NA,0.178,NA,"B"
"F",NA,0.475,0.185,0.9585,0.4145,0.1615,NA,"C"
"M",NA,0.465,0.165,1.038,NA,0.2205,NA,"B"
"M",0.565,NA,0.16,0.895,0.415,0.195,NA,"B"
"F",0.525,0.415,0.15,0.7055,0.329,0.147,NA,"B"
"M",NA,0.535,0.185,1.607,NA,0.3215,NA,"C"
"I",NA,NA,0.115,0.4885,NA,0.108,0.166,"C"
"M",0.57,NA,0.12,1.0615,0.348,0.167,0.31,"C"
"F",0.615,NA,0.16,1.2525,NA,0.2595,NA,"A"
"M",0.49,NA,0.135,0.5415,NA,0.095,0.19,"C"
"F",NA,NA,0.17,1.4045,NA,0.318,NA,"C"
"I",0.515,NA,0.12,0.659,0.2705,0.179,NA,"C"
"I",NA,NA,0.085,0.27,0.1185,0.064,NA,"A"
"F",NA,NA,0.105,0.4925,NA,0.1245,NA,"B"
"I",0.415,NA,0.1,0.4665,NA,0.1065,NA,"A"
"M",0.605,NA,0.16,1.616,NA,0.332,0.34,"C"
"I",0.42,0.32,0.115,0.376,0.169,0.092,NA,"A"
"M",NA,0.465,0.165,1.0475,NA,0.2345,NA,"C"
"I",NA,NA,0.1,0.2675,NA,0.0605,0.0765,"A"
"F",0.64,NA,0.17,1.5175,NA,0.326,NA,"C"
"M",NA,NA,0.15,1.08,0.595,0.2065,0.238,"B"
"M",0.635,NA,0.195,1.172,0.445,0.3115,NA,"C"
"I",0.42,NA,0.11,0.28,NA,0.0785,0.0955,"B"
"F",0.625,NA,0.165,1.127,NA,0.2365,0.3185,"B"
"F",0.52,NA,0.115,0.807,0.2855,0.179,NA,"C"
"F",0.52,0.425,0.165,0.9885,0.396,0.225,NA,"C"
"F",NA,0.505,0.175,1.15,0.5475,0.256,0.3045,"C"
"F",0.55,0.43,0.125,0.923,NA,0.175,NA,"A"
"I",0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,"A"
"M",0.65,NA,0.19,1.274,NA,0.23,NA,"C"
"M",0.62,NA,0.18,1.2555,NA,0.254,NA,"C"
"M",NA,NA,0.16,1.363,NA,0.279,NA,"A"
"M",NA,0.49,0.17,1.145,0.4915,0.208,0.343,"C"
"M",0.27,NA,0.07,0.106,0.0465,0.018,NA,"A"
"M",NA,0.46,0.175,0.869,NA,0.1825,0.32,"B"
"F",NA,NA,0.125,0.927,NA,0.1425,0.345,"C"
"F",0.535,0.41,0.13,0.7145,0.335,0.144,NA,"B"
"F",0.635,0.5,0.175,1.477,NA,0.3005,0.39,"C"
"I",NA,0.38,0.14,0.525,NA,0.115,0.185,"C"
"I",0.555,0.395,0.13,0.5585,0.222,0.1245,NA,"B"
"M",NA,0.38,0.12,0.5765,NA,0.135,NA,"B"
"F",0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,"B"
"I",NA,0.385,0.125,0.572,0.237,0.1435,NA,"A"
"I",NA,NA,0.06,0.1115,NA,0.0185,0.032,"A"
"F",NA,0.42,0.15,0.7365,NA,0.186,0.215,"C"
